id,order_id,tenant_id,amount_cents,currency,payment_method,payment_status,gateway,gateway_transaction_id,gateway_customer_id,gateway_payment_method_id,payment_method_details,authorized_at,captured_at,failed_at,cancelled_at,error_code,error_message,metadata,ip_address,created_at,updated_at,gateway_type,gateway_authorization_id,gateway_fee_cents,net_amount_cents,gateway_response,authorization_expires_at,platform_fee_cents,platform_fee_percentage,platform_fee_fixed_cents,total_fees_cents,fee_waived,fee_waived_reason,is_deposit_payment,deposit_percentage,deposit_forfeited,forfeited_at,platform_forfeit_fee_cents,retailer_forfeit_amount_cents
pay-tid-qki0mjdb-d1i13mj1ci,oid-tid-qki0mjdb-4n2n6bi7,tid-qki0mjdb,350,USD,paypal,paid,,2E074706HN499772H,,,,,,,,,,{},,2026-04-21 16:01:57.653,2026-04-21 16:05:32.988361,paypal,,0,350,"{""id"": ""2E074706HN499772H"", ""links"": [{""rel"": ""self"", ""href"": ""https://api.sandbox.paypal.com/v2/checkout/orders/2E074706HN499772H"", ""method"": ""GET""}], ""payer"": {""name"": {""surname"": ""Doe"", ""given_name"": ""John""}, ""address"": {""country_code"": ""US""}, ""payer_id"": ""UEEQHZ95KZ8GY"", ""email_address"": ""niftytek-buyer@gmail.com""}, ""status"": ""COMPLETED"", ""payment_source"": {""paypal"": {""name"": {""surname"": ""Doe"", ""given_name"": ""John""}, ""address"": {""country_code"": ""US""}, ""account_id"": ""UEEQHZ95KZ8GY"", ""email_address"": ""niftytek-buyer@gmail.com"", ""account_status"": ""VERIFIED""}}, ""purchase_units"": [{""payments"": {""captures"": [{""id"": ""570331999N5301053"", ""links"": [{""rel"": ""self"", ""href"": ""https://api.sandbox.paypal.com/v2/payments/captures/570331999N5301053"", ""method"": ""GET""}, {""rel"": ""refund"", ""href"": ""https://api.sandbox.paypal.com/v2/payments/captures/570331999N5301053/refund"", ""method"": ""POST""}, {""rel"": ""up"", ""href"": ""https://api.sandbox.paypal.com/v2/checkout/orders/2E074706HN499772H"", ""method"": ""GET""}], ""amount"": {""value"": ""34.99"", ""currency_code"": ""USD""}, ""status"": ""COMPLETED"", ""create_time"": ""2026-04-21T16:05:32Z"", ""update_time"": ""2026-04-21T16:05:32Z"", ""final_capture"": true, ""seller_protection"": {""status"": ""ELIGIBLE"", ""dispute_categories"": [""ITEM_NOT_RECEIVED"", ""UNAUTHORIZED_TRANSACTION""]}, ""seller_receivable_breakdown"": {""net_amount"": {""value"": ""33.28"", ""currency_code"": ""USD""}, ""paypal_fee"": {""value"": ""1.71"", ""currency_code"": ""USD""}, ""gross_amount"": {""value"": ""34.99"", ""currency_code"": ""USD""}}}]}, ""shipping"": {""name"": {""full_name"": ""John Doe""}, ""address"": {""postal_code"": ""95131"", ""admin_area_1"": ""CA"", ""admin_area_2"": ""San Jose"", ""country_code"": ""US"", ""address_line_1"": ""1 Main St""}}, ""reference_id"": ""oid-tid-qki0mjdb-4n2n6bi7""}]}",,11,,0,0,f,,t,10.00,f,,0,0
pay-tid-jcvzufq2-ex5rdlgo88,oid-tid-jcvzufq2-trdb19ne,tid-jcvzufq2,660,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-23 01:23:01.881,2026-04-23 01:23:01.876,paypal,,0,660,{},,20,,0,0,f,,t,10.00,f,,0,0
pay-tid-qki0mjdb-083rrlh6if,oid-tid-qki0mjdb-4t52i1w1,tid-qki0mjdb,60300,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-21 16:00:45.13,2026-04-21 16:00:45.129,paypal,,0,60300,{},,1809,,0,0,f,,t,10.00,f,,0,0
pay-tid-jcvzufq2-uqhspoei09,oid-tid-jcvzufq2-fahgvzfs,tid-jcvzufq2,660,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-23 01:23:01.885,2026-04-23 01:23:01.88,paypal,,0,660,{},,20,,0,0,f,,t,10.00,f,,0,0
pay-tid-042hi7ju-55r4x6umil,oid-tid-042hi7ju-nxior4yo,tid-042hi7ju,350,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-22 00:38:35.835,2026-04-22 00:38:35.829,paypal,,0,350,{},,11,,0,0,f,,t,10.00,f,,0,0
pay-R4KG-ccz5ovbvkm,oid-R4KG-yzcm3oqs,tid-042hi7ju,23,USD,paypal,pending,,,,,,,,,,,,{},,2026-05-03 09:53:43.474,2026-05-03 09:53:43.472,paypal,,0,23,{},,0,0.00,0,0,t,Free transaction 1/10 this month,t,10.00,f,,0,0
pay-tid-042hi7ju-pot0uho46y,oid-tid-042hi7ju-z62tqf1n,tid-042hi7ju,350,USD,paypal,paid,,21W86556FE9747939,,,,,,,,,,{},,2026-04-22 00:38:36.371,2026-04-22 00:42:39.689872,paypal,,0,350,"{""id"": ""21W86556FE9747939"", ""links"": [{""rel"": ""self"", ""href"": ""https://api.sandbox.paypal.com/v2/checkout/orders/21W86556FE9747939"", ""method"": ""GET""}], ""payer"": {""name"": {""surname"": ""Doe"", ""given_name"": ""John""}, ""address"": {""country_code"": ""US""}, ""payer_id"": ""UEEQHZ95KZ8GY"", ""email_address"": ""niftytek-buyer@gmail.com""}, ""status"": ""COMPLETED"", ""payment_source"": {""paypal"": {""name"": {""surname"": ""Doe"", ""given_name"": ""John""}, ""address"": {""country_code"": ""US""}, ""account_id"": ""UEEQHZ95KZ8GY"", ""email_address"": ""niftytek-buyer@gmail.com"", ""account_status"": ""VERIFIED""}}, ""purchase_units"": [{""payments"": {""captures"": [{""id"": ""0R5371776F069071N"", ""links"": [{""rel"": ""self"", ""href"": ""https://api.sandbox.paypal.com/v2/payments/captures/0R5371776F069071N"", ""method"": ""GET""}, {""rel"": ""refund"", ""href"": ""https://api.sandbox.paypal.com/v2/payments/captures/0R5371776F069071N/refund"", ""method"": ""POST""}, {""rel"": ""up"", ""href"": ""https://api.sandbox.paypal.com/v2/checkout/orders/21W86556FE9747939"", ""method"": ""GET""}], ""amount"": {""value"": ""34.99"", ""currency_code"": ""USD""}, ""status"": ""COMPLETED"", ""create_time"": ""2026-04-22T00:42:38Z"", ""update_time"": ""2026-04-22T00:42:38Z"", ""final_capture"": true, ""seller_protection"": {""status"": ""ELIGIBLE"", ""dispute_categories"": [""ITEM_NOT_RECEIVED"", ""UNAUTHORIZED_TRANSACTION""]}, ""seller_receivable_breakdown"": {""net_amount"": {""value"": ""33.28"", ""currency_code"": ""USD""}, ""paypal_fee"": {""value"": ""1.71"", ""currency_code"": ""USD""}, ""gross_amount"": {""value"": ""34.99"", ""currency_code"": ""USD""}}}]}, ""shipping"": {""name"": {""full_name"": ""John Doe""}, ""address"": {""postal_code"": ""95131"", ""admin_area_1"": ""CA"", ""admin_area_2"": ""San Jose"", ""country_code"": ""US"", ""address_line_1"": ""1 Main St""}}, ""reference_id"": ""oid-tid-042hi7ju-z62tqf1n""}]}",,11,,0,0,f,,t,10.00,f,,0,0
pay-R4KG-zjxsptvkma,oid-R4KG-93n1ivq2,tid-042hi7ju,23,USD,paypal,pending,,,,,,,,,,,,{},,2026-05-03 09:53:43.473,2026-05-03 09:53:43.472,paypal,,0,23,{},,0,0.00,0,0,t,Free transaction 1/10 this month,t,10.00,f,,0,0
pay-tid-qki0mjdb-11eicy68b8,oid-tid-qki0mjdb-reudkfdd,tid-qki0mjdb,600,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-22 20:45:49.97,2026-04-22 20:45:49.968,paypal,,0,600,{},,18,,0,0,f,,t,10.00,f,,0,0
pay-R4KG-h2pixrkwy4,oid-R4KG-dal9m8hk,tid-042hi7ju,23,USD,paypal,pending,,,,,,,,,,,,{},,2026-05-03 09:56:09.396,2026-05-03 09:56:09.395,paypal,,0,23,{},,0,0.00,0,0,t,Free transaction 1/10 this month,t,10.00,f,,0,0
pay-tid-jcvzufq2-4min6jbwf5,oid-tid-jcvzufq2-fdja08x4,tid-jcvzufq2,660,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-22 21:23:51.837,2026-04-22 21:23:51.833,paypal,,0,660,{},,20,,0,0,f,,t,10.00,f,,0,0
pay-tid-jcvzufq2-as2meihjuh,oid-tid-jcvzufq2-akf1apwy,tid-jcvzufq2,660,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-22 21:23:52.858,2026-04-22 21:23:52.854,paypal,,0,660,{},,20,,0,0,f,,t,10.00,f,,0,0
pay-R4KG-4dtb6wcm9z,oid-R4KG-4a4bv7cz,tid-042hi7ju,23,USD,paypal,pending,,,,,,,,,,,,{},,2026-05-03 09:56:09.473,2026-05-03 09:56:09.472,paypal,,0,23,{},,0,0.00,0,0,t,Free transaction 1/10 this month,t,10.00,f,,0,0
pay-tid-jcvzufq2-389x4vwm16,oid-tid-jcvzufq2-xntubvra,tid-jcvzufq2,660,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-22 21:33:59.697,2026-04-22 21:33:59.692,paypal,,0,660,{},,20,,0,0,f,,t,10.00,f,,0,0
pay-tid-qki0mjdb-xt4n2tmbx6,oid-tid-qki0mjdb-wsowwd4g,tid-qki0mjdb,600,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-22 21:35:43.864,2026-04-22 21:35:43.852,paypal,,0,600,{},,18,,0,0,f,,t,10.00,f,,0,0
pay-R4KG-xc4tak974s,oid-R4KG-zdlmuya4,tid-042hi7ju,23,USD,paypal,pending,,,,,,,,,,,,{},,2026-05-03 09:59:50.772,2026-05-03 09:59:50.769,paypal,,0,23,{},,0,0.00,0,0,t,Free transaction 1/10 this month,t,10.00,f,,0,0
pay-R4KG-qopar7n503,oid-R4KG-x89z61vy,tid-042hi7ju,23,USD,paypal,pending,,,,,,,,,,,,{},,2026-05-03 09:59:50.948,2026-05-03 09:59:50.945,paypal,,0,23,{},,0,0.00,0,0,t,Free transaction 1/10 this month,t,10.00,f,,0,0
pay-tid-jcvzufq2-b9nqbwt0bg,oid-tid-jcvzufq2-iag7n5cs,tid-jcvzufq2,660,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-22 21:33:59.775,2026-04-22 21:33:59.771,paypal,,0,660,{},,20,,0,0,f,,t,10.00,f,,0,0
pay-tid-qki0mjdb-7x9rdlpbbt,oid-tid-qki0mjdb-luxn9q5t,tid-qki0mjdb,600,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-22 21:35:43.717,2026-04-22 21:35:43.713,paypal,,0,600,{},,18,,0,0,f,,t,10.00,f,,0,0
pay-R4KG-4v8opr46vu,oid-R4KG-zalwxl9u,tid-042hi7ju,23,USD,paypal,pending,,,,,,,,,,,,{},,2026-05-03 10:07:09.661,2026-05-03 10:07:09.659,paypal,,0,23,{},,0,0.00,0,0,t,Free transaction 1/10 this month,t,10.00,f,,0,0
pay-tid-qki0mjdb-6baz4bsyxu,oid-tid-qki0mjdb-lkptwi93,tid-qki0mjdb,600,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-22 21:42:33.84,2026-04-22 21:42:33.833,paypal,,0,600,{},,18,,0,0,f,,t,10.00,f,,0,0
pay-tid-qki0mjdb-nr7yvbnrrd,oid-tid-qki0mjdb-ked2myqj,tid-qki0mjdb,600,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-22 21:53:40.254,2026-04-22 21:53:40.249,paypal,,0,600,{},,18,,0,0,f,,t,10.00,f,,0,0
pay-R4KG-3g4lasa66r,oid-R4KG-fqsz9moj,tid-042hi7ju,23,USD,paypal,pending,,,,,,,,,,,,{},,2026-05-03 10:07:09.66,2026-05-03 10:07:09.658,paypal,,0,23,{},,0,0.00,0,0,t,Free transaction 1/10 this month,t,10.00,f,,0,0
pay-R4KG-jyh2f8o9as,oid-R4KG-34eyimui,tid-042hi7ju,23,USD,paypal,pending,,,,,,,,,,,,{},,2026-05-03 10:09:22.994,2026-05-03 10:09:22.992,paypal,,0,23,{},,0,0.00,0,0,t,Free transaction 1/10 this month,t,10.00,f,,0,0
pay-tid-qki0mjdb-ga430csllm,oid-tid-qki0mjdb-71ijqoy6,tid-qki0mjdb,600,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-22 21:42:33.852,2026-04-22 21:42:33.847,paypal,,0,600,{},,18,,0,0,f,,t,10.00,f,,0,0
pay-R4KG-fcntokaugh,oid-R4KG-stfqthud,tid-042hi7ju,23,USD,paypal,pending,,,,,,,,,,,,{},,2026-05-03 10:09:23.027,2026-05-03 10:09:23.025,paypal,,0,23,{},,0,0.00,0,0,t,Free transaction 1/10 this month,t,10.00,f,,0,0
pay-R4KG-wj41ci5amn,oid-R4KG-mrme1ntx,tid-042hi7ju,23,USD,paypal,pending,,,,,,,,,,,,{},,2026-05-03 10:12:39.144,2026-05-03 10:12:39.143,paypal,,0,23,{},,0,0.00,0,0,t,Free transaction 1/10 this month,t,10.00,f,,0,0
pay-R4KG-pspayrdoi4,oid-R4KG-hxzwqpgp,tid-042hi7ju,23,USD,paypal,pending,,,,,,,,,,,,{},,2026-05-03 10:15:06.817,2026-05-03 10:15:06.813,paypal,,0,23,{},,0,0.00,0,0,t,Free transaction 1/10 this month,t,10.00,f,,0,0
pay-tid-qki0mjdb-9ra0y2zj2a,oid-tid-qki0mjdb-ja43b951,tid-qki0mjdb,600,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-22 21:53:40.271,2026-04-22 21:53:40.266,paypal,,0,600,{},,18,,0,0,f,,t,10.00,f,,0,0
pay-tid-jcvzufq2-p44ecmf5b6,oid-tid-jcvzufq2-mbj17zhv,tid-jcvzufq2,660,USD,paypal,pending,,,,,,,,,,,,{},,2026-04-22 22:08:32.625,2026-04-22 22:08:32.617,paypal,,0,660,{},,20,,0,0,f,,t,10.00,f,,0,0
pay-iyxekap9ol,ord-sw1g8r6x10,tid-m8ijkrnk,1599,USD,paypal,pending,,,,,,,,,,,,{},,2026-01-12 16:55:21.249,2026-01-12 16:55:21.247,paypal,,0,1599,{},,48,,0,0,f,,f,,f,,0,0
pay-R4KG-w7c2rhsirk,oid-R4KG-vzcoa9iq,tid-042hi7ju,23,USD,paypal,pending,,,,,,,,,,,,{},,2026-05-03 10:10:32.478,2026-05-03 10:10:32.476,paypal,,0,23,{},,0,0.00,0,0,t,Free transaction 1/10 this month,t,10.00,f,,0,0
